time,temp,icon,precip,wind360,windSpeed,humidity,pressure,load1,load2,load3,load
15,29,104,0.0,90,12,44,999,11.789724349975586,8.116151809692383,5.258351802825928,12.148247718811035
16,29,104,0.0,45,3,46,999,9.093000411987305,8.14732837677002,7.024991989135742,5.798736095428467
17,27,305,0.0,180,26,59,999,8.42271614074707,11.4415922164917,7.856351852416992,7.113324165344238
18,23,305,0.9,315,9,82,999,6.380688190460205,2.353787899017334,3.3306360244750977,5.757167816162109
19,22,306,1.4,315,5,89,1000,6.255983829498291,2.353787899017334,2.44212007522583,7.34194803237915
20,22,305,1.2,270,9,92,1000,6.255983829498291,3.53847599029541,7.06136417388916,6.619703769683838
21,22,104,0.0,270,10,89,1000,2.3745720386505127,4.577675819396973,3.980135917663574,9.363191604614258
22,22,104,0.0,315,4,84,1000,5.076491832733154,3.496907949447632,2.4732959270477295,5.18560791015625
23,22,104,0.0,225,2,91,1000,5.247960090637207,3.496907949447632,2.4732959270477295,5.138844013214111
0,22,104,0.0,0,3,89,1000,4.946591854095459,3.4917120933532715,1.7666399478912354,4.982964038848877
1,22,104,0.0,315,8,91,1000,5.118060111999512,1.964087963104248,1.7666399478912354,5.050511837005615
2,22,104,0.0,315,10,88,999,5.175216197967529,1.964087963104248,1.7666399478912354,1.7094839811325073
3,22,104,0.0,270,2,89,1000,5.144040107727051,1.964087963104248,1.7666399478912354,5.336291790008545
4,22,104,0.0,0,7,88,999,1.7978160381317139,1.964087963104248,1.7666399478912354,4.676400184631348
5,22,104,0.0,0,5,89,1000,1.9692840576171875,1.964087963104248,1.7666399478912354,5.289527893066406
6,22,104,0.0,0,14,86,1000,5.118060111999512,1.964087963104248,1.7666399478912354,5.138844013214111
7,22,104,0.0,315,9,85,1000,5.357076168060303,6.204023838043213,1.7666399478912354,5.17002010345459
8,22,104,0.0,315,17,81,1001,10.241315841674805,6.9522480964660645,1.7666399478912354,7.544591903686523
9,22,104,0.0,0,11,82,1001,7.742040157318115,10.807680130004883,6.848328113555908,4.629635810852051
10,23,302,0.0,315,7,83,1001,7.91350793838501,11.135027885437012,7.508220195770264,9.913968086242676
